TF	statistic	pvalue	zscore	max_auc	re_rank	irwin_hall_pvalue
SMAD3	5.457	2.422e-8	2.845	0.724	0.012	8.216e-6
SOX2	5.396	3.401e-8	2.84	0.715	0.015	1.441e-5
SMAD2-SMAD3	3.803	7.15e-5	3.174	0.684	0.016	1.781e-5
TEAD4	4.612	1.998e-6	2.944	0.703	0.016	1.905e-5
OTX2	5.858	2.34e-9	2.82	0.665	0.018	2.773e-5
SMARCA4	4.074	2.312e-5	2.833	0.678	0.021	4.293e-5
GATA4	4.669	1.514e-6	2.963	0.654	0.021	4.293e-5
ASCL1	4.93	4.108e-7	2.559	0.755	0.022	4.745e-5
POU5F1	6.905	2.507e-12	2.624	0.652	0.024	6.573e-5
SMARCC1	4.663	1.56e-6	2.731	0.66	0.025	7.17e-5
SMAD1	2.74	0.003074	2.626	0.7	0.032	1.524e-4
EOMES	2.928	0.001708	2.818	0.633	0.036	2.154e-4
NEUROG2	5.607	1.03e-8	2.538	0.621	0.037	2.351e-4
SMAD2	2.854	0.002159	2.6	0.656	0.038	2.561e-4
RNF2	3.666	1.232e-4	2.332	0.673	0.043	3.703e-4
NANOG	4.601	2.102e-6	2.313	0.666	0.044	3.796e-4
SIX2	3.719	1.001e-4	2.981	0.59	0.051	5.86e-4
TFAP2A	3.645	1.336e-4	2.592	0.601	0.051	5.985e-4
MAML3	3.085	0.001017	2.902	0.592	0.054	6.915e-4
MYOG	1.942	0.02609	2.758	0.636	0.054	7.055e-4
TCF21	3.337	4.235e-4	2.139	0.683	0.055	7.487e-4
TEAD1	3.414	3.202e-4	2.419	0.609	0.056	8.09e-4
MYOD1	2.636	0.004201	2.671	0.596	0.058	8.887e-4
RAD21	8.651	2.546e-18	1.999	0.629	0.062	0.001064
YAP1	3.702	1.071e-4	2.265	0.613	0.062	0.001064
EP300	5.83	2.767e-9	1.84	0.719	0.063	0.001101
SMARCB1	2.545	0.005462	2.307	0.627	0.064	0.001159
NR2F1	2.348	0.009425	3.051	0.589	0.064	0.001179
EBF3	2.589	0.004819	3.087	0.581	0.066	0.001281
HAND2	1.655	0.049	2.951	0.614	0.067	0.001324
CTNNB1	1.688	0.04573	2.52	0.65	0.069	0.00148
SMAD4	2.503	0.006161	2.444	0.594	0.07	0.00155
SMC1A	6.568	2.558e-11	1.934	0.62	0.07	0.001574
FOXH1	2.157	0.01551	2.848	0.589	0.071	0.001598
SMC3	7.017	1.137e-12	1.967	0.609	0.072	0.001698
NR3C1	6.262	1.905e-10	1.869	0.63	0.073	0.001749
PAX3	1.634	0.0511	2.895	0.603	0.074	0.001854
NEUROD1	2.262	0.01186	2.652	0.586	0.075	0.001908
SOX10	1.638	0.05074	2.735	0.604	0.077	0.00202
NR2F2	2.987	0.001411	2.434	0.582	0.079	0.002226
TEAD1-TEAD4	1.675	0.04696	2.405	0.632	0.079	0.002226
SIX1	2.377	0.008724	3.326	0.573	0.08	0.002318
EZH2	8.423	1.833e-17	1.534	0.737	0.081	0.002381
PGR	1.656	0.04891	2.419	0.614	0.083	0.002543
CHD5	1.627	0.05188	2.619	0.6	0.084	0.002644
JUN	4.718	1.191e-6	1.787	0.627	0.085	0.002783
TP53	4.879	5.328e-7	1.879	0.602	0.086	0.002818
GATA6	2.109	0.01749	1.985	0.633	0.089	0.00315
SSU72	1.649	0.04957	2.37	0.61	0.089	0.00315
FOSL2	8.658	2.394e-18	1.755	0.601	0.09	0.003306
JMJD6	3.745	9.012e-5	1.733	0.634	0.09	0.003306
CTCF	23.114	1.6829999999999993e-118	1.802	0.596	0.091	0.003385
MKL2	2.844	0.002227	2.051	0.592	0.093	0.003674
SMARCA2	1.717	0.04303	2.357	0.595	0.095	0.00389
JARID2	5.42	2.984e-8	1.301	0.727	0.098	0.004253
WWTR1	2.24	0.01255	1.992	0.597	0.1	0.004491
TBX5	2.732	0.003144	2.662	0.559	0.101	0.004589
LMNA	1.407	0.07966	2.428	0.601	0.101	0.004688
NKX2-1	2.401	0.008166	2.673	0.561	0.101	0.004688
RING1	1.809	0.03521	2.354	0.585	0.102	0.004738
TP63	6.351	1.069e-10	1.979	0.576	0.103	0.00489
PCGF2	2.191	0.01421	2.108	0.588	0.104	0.005098
BMI1	2.265	0.01176	1.89	0.6	0.105	0.005204
TP73	2.04	0.02065	2.331	0.58	0.105	0.005204
GLIS1	2.163	0.01527	2.282	0.577	0.107	0.005588
ESCO2	1.556	0.0598	2.497	0.584	0.109	0.005758
POLR2AphosphoS5	2.553	0.005338	2.28	0.563	0.115	0.006914
ZNF534	1.545	0.06116	2.41	0.581	0.116	0.007044
REST	3.266	5.449e-4	1.998	0.571	0.119	0.00765
ZBTB42	1.468	0.07103	2.773	0.572	0.119	0.00765
TET2	2.75	0.002976	1.951	0.576	0.119	0.00765
