TF	statistic	pvalue	zscore	max_auc	re_rank	irwin_hall_pvalue
GATA2	5.190	1.053e-07	2.774	0.670	0.010	4.115e-06
RELA	10.239	6.614e-25	2.430	0.763	0.013	9.753e-06
SPI1	10.174	1.289e-24	2.427	0.690	0.015	1.549e-05
FLI1	4.696	1.324e-06	3.229	0.609	0.018	2.459e-05
TEAD1	3.682	1.157e-04	2.559	0.610	0.027	9.176e-05
LYL1	4.120	1.896e-05	2.397	0.621	0.029	1.153e-04
LMO2	3.616	1.498e-04	2.527	0.610	0.030	1.195e-04
ETV6	2.773	2.779e-03	2.588	0.636	0.031	1.377e-04
FOXO1	2.864	2.092e-03	2.555	0.622	0.034	1.736e-04
EP300	7.131	4.969e-13	2.126	0.722	0.034	1.792e-04
IRF4	3.692	1.114e-04	2.682	0.578	0.038	2.490e-04
STAT3	4.907	4.628e-07	2.635	0.572	0.039	2.633e-04
RELB	2.782	2.698e-03	2.741	0.588	0.043	3.612e-04
TEAD4	3.461	2.693e-04	2.371	0.599	0.045	3.986e-04
VDR	4.205	1.307e-05	2.813	0.564	0.046	4.282e-04
IRF1	3.696	1.096e-04	2.062	0.712	0.046	4.282e-04
RUNX1	6.760	6.908e-12	2.201	0.591	0.047	4.699e-04
EBNA3C	2.711	3.354e-03	2.256	0.642	0.048	4.918e-04
MEF2B	3.862	5.635e-05	2.241	0.589	0.049	5.375e-04
YAP1	3.607	1.547e-04	2.219	0.595	0.051	5.985e-04
JUND	3.067	1.082e-03	2.110	0.647	0.051	6.113e-04
STAT4	1.718	4.289e-02	2.624	0.615	0.052	6.242e-04
NFKB1	2.669	3.799e-03	2.413	0.594	0.052	6.373e-04
JUN	5.380	3.721e-08	2.002	0.619	0.052	6.373e-04
BCL6	3.457	2.728e-04	2.214	0.601	0.052	6.373e-04
TCF7L1	3.529	2.088e-04	2.808	0.560	0.053	6.640e-04
GATA4	3.444	2.869e-04	2.500	0.571	0.053	6.777e-04
TBX21	2.796	2.588e-03	2.295	0.595	0.055	7.635e-04
MYB	4.227	1.182e-05	2.213	0.580	0.056	7.784e-04
DUX4	2.213	1.345e-02	2.881	0.574	0.056	8.090e-04
RUNX1T1	3.347	4.084e-04	2.235	0.586	0.058	8.562e-04
BATF	2.904	1.844e-03	2.308	0.584	0.058	8.724e-04
TP53	5.274	6.660e-08	2.001	0.603	0.059	9.053e-04
PROX1	2.335	9.762e-03	2.161	0.633	0.059	9.053e-04
SND1	2.807	2.497e-03	2.385	0.578	0.060	9.562e-04
SMARCC1	3.520	2.154e-04	2.073	0.600	0.060	9.912e-04
PRMT1	2.254	1.209e-02	2.473	0.579	0.062	1.064e-03
FOS	2.983	1.425e-03	2.021	0.632	0.062	1.082e-03
IKZF1	3.443	2.877e-04	1.942	0.643	0.063	1.101e-03
CEBPB	7.701	6.748e-15	1.869	0.606	0.063	1.140e-03
BACH2	2.793	2.611e-03	2.071	0.619	0.063	1.140e-03
SPIB	2.676	3.730e-03	2.694	0.558	0.066	1.302e-03
SMARCA2	2.023	2.152e-02	2.621	0.571	0.066	1.302e-03
MEIS1	2.748	3.001e-03	2.577	0.561	0.067	1.345e-03
FOSL1	3.032	1.215e-03	1.928	0.625	0.070	1.526e-03
TCF12	2.954	1.569e-03	3.036	0.543	0.070	1.550e-03
STAT1	3.509	2.248e-04	2.129	0.572	0.070	1.574e-03
HNF1B	1.702	4.433e-02	2.250	0.610	0.070	1.574e-03
FOXA2	4.268	9.867e-06	2.252	0.551	0.071	1.623e-03
PAX5	4.123	1.873e-05	2.475	0.538	0.073	1.775e-03
JMJD1C	2.812	2.459e-03	2.219	0.571	0.074	1.827e-03
TAL1	3.015	1.285e-03	1.874	0.605	0.079	2.226e-03
STAG1	8.578	4.821e-18	2.102	0.545	0.082	2.478e-03
ELF3	2.181	1.460e-02	2.517	0.549	0.082	2.510e-03
