Rank	sample_id	factor	cell_line	cell_type	tissue	DNase_p_value	ChIP-seq_p_value	H3K27ac_p_value	summary_p_value
1	67766	IRF2	None	Hematopoietic stem and progenitor cell	Bone Marrow	7.485697850845749e-16	1.324963007723274e-19	3.7368358871511604e-11	3.974185581157062e-19
2	33542	IRF2	None	Proerythroblast	Bone Marrow	3.908675811991641e-15	1.7251940528682908e-17	7.440339936420857e-15	5.140960874416889e-17
3	64676	IRF1	K562	Erythroblast	Bone Marrow	1.2073523602648986e-11	1.1051312799405583e-16	7.919906271853345e-12	3.3306690738754696e-16
4	41302	IRF1	None	Monocyte	Blood	8.125711781358554e-15	5.757484126981257e-16	1.0413590355564569e-13	1.609823385706477e-15
5	41303	IRF1	None	Monocyte	Blood	8.595455994968413e-10	6.5883460987450664e-15	2.288370142047236e-10	1.9817480989559044e-14
6	64675	IRF1	K562	Erythroblast	Bone Marrow	1.200254671458351e-09	1.2855228546133482e-12	6.276884353798827e-11	3.7752578840866136e-12
7	41291	STAT1	None	Monocyte	Blood	3.5871846819421e-09	1.763654444890185e-12	1.0692717827745461e-07	5.288325333197008e-12
8	41288	STAT1	None	Monocyte	Blood	3.5704689558649368e-12	6.849888573712845e-12	1.0482895723435587e-09	7.025546810979222e-12
9	74648	ETV6	GM12878	B Lymphocyte	Blood	2.6689032845868467e-08	1.2971315809705337e-10	8.425330963120489e-05	3.8725689321950085e-10
10	41301	IRF1	None	Monocyte	Blood	3.5129919223517735e-09	1.87227487944895e-10	5.2016263569565867e-08	5.314459428085172e-10
11	41300	IRF1	None	Monocyte	Blood	1.3376594506964212e-07	6.977237869443126e-10	1.0611378326684095e-05	2.0821738777598853e-09
12	45971	IRF1	K562	Erythroblast	Bone Marrow	8.169998342500244e-07	1.1774010824255106e-09	6.058406676817371e-07	3.5202886716767523e-09
13	45960	STAT2	K562	Erythroblast	Bone Marrow	4.065067850529415e-08	5.5657450716486374e-09	2.311900362849749e-09	4.710945078478801e-09
14	74647	ETV6	GM12878	B Lymphocyte	Blood	2.8220325914737262e-08	1.966584411653163e-09	0.0001274037454269951	5.515322809568346e-09
15	45955	STAT1	K562	Erythroblast	Bone Marrow	1.0052146613195524e-08	3.978958458762952e-09	2.4326220802875524e-08	7.654795408651438e-09
16	67614	FOXA1	CFPAC-1	None	Pancreatic ductal	5.093151712807794e-05	3.117902895343194e-09	0.0007913110640331865	9.353099350573046e-09
17	48275	SPI1	GM12878	B Lymphocyte	Blood	0.00011786618498187402	5.7692007731498155e-09	0.002342405825130079	1.7306712674081126e-08
18	41289	STAT1	None	Monocyte	Blood	8.136454956237808e-09	2.5284491821122912e-08	1.5496843242970603e-05	1.8459480999322153e-08
19	54675	YAP1	NCI-H2052	Epithelium	Lung	0.0005263295894869593	3.5203270439009786e-08	0.19746884857901226	1.0560273194792913e-07
20	4975	RELA	GM12891	Lymphoblastoid	Blood	5.299908554169454e-06	7.357416212467389e-08	0.0029131428969319906	2.1769491365120075e-07
