"TF_Name","MORA","HOMER","AME","PSCAN","BART2","LISA2","Num_Yes","Conf_lvl_ranks"
"STAT1",1,1,0,1,1,1,5,1
"BATF",0,1,0,1,1,1,4,2
"CTCF",1,1,0,0,1,1,4,2
"IRF1",1,1,0,0,1,1,4,2
"IRF4",0,1,1,0,1,1,4,2
"JUNB",0,0,1,1,1,1,4,2
"MEF2B",1,1,0,0,1,1,4,2
"NFKB1",1,0,0,1,1,1,4,2
"SPIB",1,1,0,0,1,1,4,2
"STAT4",1,1,0,1,1,0,4,2
"STAT5A",1,0,0,1,1,1,4,2
"TCF12",0,0,1,1,1,1,4,2
"TEAD4",0,1,0,1,1,1,4,2
"ZNF317",0,1,0,1,1,1,4,2
"BACH2",0,0,0,1,1,1,3,3
"BCL6",0,0,0,1,1,1,3,3
"CEBPA",0,0,0,1,1,1,3,3
"CEBPB",0,0,0,1,1,1,3,3
"EBF1",0,1,0,0,1,1,3,3
"EHF",1,1,0,0,1,0,3,3
"ERG",0,1,0,0,1,1,3,3
"FOS",0,0,0,1,1,1,3,3
"FOSL1",1,0,0,1,1,0,3,3
"FOSL2",0,0,0,1,1,1,3,3
"FOXA2",0,0,1,0,1,1,3,3
"FOXP1",0,1,0,0,1,1,3,3
"GATA3",0,1,0,0,1,1,3,3
"GSC",0,1,1,1,0,0,3,3
"HOXB13",0,1,0,0,1,1,3,3
"IKZF1",0,0,0,1,1,1,3,3
"JUN",0,0,0,1,1,1,3,3
"JUND",0,0,0,1,1,1,3,3
"LHX2",0,0,0,1,1,1,3,3
"MAF",0,0,0,1,1,1,3,3
"MAFK",1,0,0,0,1,1,3,3
"MYB",0,1,0,0,1,1,3,3
"NFIC",0,0,0,1,1,1,3,3
"PAX5",0,1,0,0,1,1,3,3
"POU2F2",1,0,0,0,1,1,3,3
"PRDM1",1,0,0,0,1,1,3,3
"RUNX1",0,1,0,0,1,1,3,3
"SMAD3",0,0,0,1,1,1,3,3
"SPI1",0,0,1,1,0,1,3,3
"STAT3",0,0,0,1,1,1,3,3
"STAT5B",0,0,0,1,1,1,3,3
"TCF4",0,0,0,1,1,1,3,3
"TCF7L1",0,0,0,1,1,1,3,3
"TLX1",0,0,0,1,1,1,3,3
"VDR",0,1,0,0,1,1,3,3
"ZBTB12",0,1,0,1,0,1,3,3
"AR",1,0,0,0,0,1,2,4
"ASCL2",0,0,1,1,0,0,2,4
"ATF2",0,0,0,0,1,1,2,4
"ATF3",0,0,1,0,0,1,2,4
"ATF4",1,0,0,0,0,1,2,4
"BATF3",0,0,0,1,1,0,2,4
"BHLHE22",1,0,0,1,0,0,2,4
"BHLHE40",0,1,1,0,0,0,2,4
"CDX2",0,0,0,0,1,1,2,4
"CLOCK",0,1,1,0,0,0,2,4
"E2F1",0,1,0,0,0,1,2,4
"E2F7",0,1,0,0,0,1,2,4
"ELF1",0,1,0,0,0,1,2,4
"ELF3",0,0,0,0,1,1,2,4
"ELF5",0,1,0,1,0,0,2,4
"ETS1",0,1,0,0,0,1,2,4
"FLI1",0,0,1,0,0,1,2,4
"FOSB",0,0,1,1,0,0,2,4
"FOXA1",0,1,0,0,0,1,2,4
"FOXO1",0,0,0,0,1,1,2,4
"FOXP2",0,0,1,1,0,0,2,4
"GABPA",0,1,0,0,0,1,2,4
"GATA4",0,0,0,0,1,1,2,4
"GATA6",0,0,0,0,1,1,2,4
"GRHL2",0,1,0,0,0,1,2,4
"HES2",0,0,0,0,1,1,2,4
"HMG20A",0,0,0,0,1,1,2,4
"HNF4A",0,1,0,0,0,1,2,4
"HSF1",0,0,1,0,0,1,2,4
"KLF1",0,0,0,1,0,1,2,4
"KLF11",0,0,1,0,0,1,2,4
"KLF14",0,1,0,1,0,0,2,4
"KLF17",1,0,1,0,0,0,2,4
"KLF5",0,1,0,1,0,0,2,4
"KMT2A",0,0,0,0,1,1,2,4
"LYL1",0,0,0,0,1,1,2,4
"MAX",0,0,1,0,0,1,2,4
"MEF2A",0,0,0,0,1,1,2,4
"MEIS1",0,0,0,0,1,1,2,4
"MIXL1",1,0,0,1,0,0,2,4
"MYF5",0,0,1,1,0,0,2,4
"MYOG",0,0,0,1,1,0,2,4
"NANOG",0,0,0,0,1,1,2,4
"NFATC1",0,0,0,1,0,1,2,4
"NFKB2",0,0,0,1,1,0,2,4
"NKX2-1",0,0,0,0,1,1,2,4
"NR3C1",0,0,0,0,1,1,2,4
"OTX2",0,0,0,0,1,1,2,4
"PAX3",0,0,0,1,0,1,2,4
"PAX7",1,0,0,1,0,0,2,4
"PBX1",1,1,0,0,0,0,2,4
"PBX3",0,0,0,0,1,1,2,4
"PGR",0,1,0,0,0,1,2,4
"PROX1",0,0,0,0,1,1,2,4
"PTF1A",1,0,0,1,0,0,2,4
"RELA",1,0,0,0,0,1,2,4
"RXRG",0,0,0,0,1,1,2,4
"SIX2",0,0,0,1,0,1,2,4
"SNAI2",0,0,0,0,1,1,2,4
"SOX11",0,0,0,1,1,0,2,4
"SOX2",0,0,0,0,1,1,2,4
"SP1",0,0,0,1,0,1,2,4
"STAT6",0,1,0,0,0,1,2,4
"TAL1",0,0,0,0,1,1,2,4
"TBP",0,0,0,1,0,1,2,4
"TBX21",0,0,0,0,1,1,2,4
"TCF21",0,0,0,0,1,1,2,4
"TCF7L2",0,0,0,0,1,1,2,4
"TEAD1",0,0,0,1,0,1,2,4
"TEAD2",0,1,0,1,0,0,2,4
"TERF2",0,0,0,0,1,1,2,4
"TFAP4",0,0,0,1,0,1,2,4
"TP53",0,0,0,0,1,1,2,4
"TP63",0,0,0,0,1,1,2,4
"TP73",0,0,0,0,1,1,2,4
"USF1",1,1,0,0,0,0,2,4
"YY1",0,1,0,0,0,1,2,4
"ZBTB18",0,1,1,0,0,0,2,4
"ZNF136",0,1,0,0,0,1,2,4
"ZNF17",0,0,1,0,0,1,2,4
"ZNF189",0,1,1,0,0,0,2,4
"ZNF384",0,0,0,0,1,1,2,4
"ZNF41",0,1,0,0,0,1,2,4
"ZNF597",0,0,0,0,1,1,2,4
"ZNF675",0,1,1,0,0,0,2,4
"ZNF808",1,0,0,0,1,0,2,4
"ALX1",0,0,0,1,0,0,1,5
"ALX4",0,0,0,1,0,0,1,5
"ARGFX",0,0,0,1,0,0,1,5
"ARID3A",0,0,0,1,0,0,1,5
"ARNT2",0,0,1,0,0,0,1,5
"ARNTL",0,0,1,0,0,0,1,5
"ARX",0,0,0,1,0,0,1,5
"ASCL1",0,0,0,1,0,0,1,5
"ATF6",1,0,0,0,0,0,1,5
"ATF7",1,0,0,0,0,0,1,5
"BARX2",0,0,1,0,0,0,1,5
"BCL11A",0,0,0,0,0,1,1,5
"BHLHA15",0,0,0,1,0,0,1,5
"BHLHE41",0,0,1,0,0,0,1,5
"BSX",0,0,0,1,0,0,1,5
"CEBPD",0,0,0,1,0,0,1,5
"CEBPE",0,0,0,1,0,0,1,5
"CEBPG",0,0,0,1,0,0,1,5
"CENPB",1,0,0,0,0,0,1,5
"CREB1",0,0,0,0,0,1,1,5
"CREBZF",1,0,0,0,0,0,1,5
"CRX",0,1,0,0,0,0,1,5
"CTCFL",0,0,1,0,0,0,1,5
"CUX1",0,0,0,1,0,0,1,5
"CUX2",0,0,0,1,0,0,1,5
"DLX5",0,0,0,1,0,0,1,5
"DMRT1",0,1,0,0,0,0,1,5
"DMRTC2",1,0,0,0,0,0,1,5
"DNMT1",0,0,0,0,0,1,1,5
"DRGX",0,0,0,1,0,0,1,5
"DUX4",0,0,0,0,1,0,1,5
"E2F4",0,1,0,0,0,0,1,5
"E2F6",0,1,0,0,0,0,1,5
"E2F8",1,0,0,0,0,0,1,5
"EGR4",0,0,1,0,0,0,1,5
"ELF2",1,0,0,0,0,0,1,5
"EMX2",0,0,0,1,0,0,1,5
"EOMES",0,0,0,0,0,1,1,5
"EPAS1",0,0,0,0,1,0,1,5
"ERF",1,0,0,0,0,0,1,5
"ESR1",0,0,0,0,0,1,1,5
"ETV1",0,1,0,0,0,0,1,5
"ETV4",0,0,0,0,0,1,1,5
"ETV5",0,0,0,0,0,1,1,5
"ETV6",0,0,0,0,1,0,1,5
"FOXB1",0,0,1,0,0,0,1,5
"FOXC1",1,0,0,0,0,0,1,5
"FOXE1",0,0,0,1,0,0,1,5
"FOXH1",0,1,0,0,0,0,1,5
"FOXI1",1,0,0,0,0,0,1,5
"FOXJ3",0,0,0,1,0,0,1,5
"FOXM1",0,1,0,0,0,0,1,5
"FOXO3",0,0,1,0,0,0,1,5
"FOXO6",1,0,0,0,0,0,1,5
"FOXQ1",0,0,1,0,0,0,1,5
