"TF_Name","MORA","HOMER","AME","PSCAN","BART2","LISA2","Num_Yes","Conf_lvl_ranks"
"BCL6",1,1,0,1,1,0,4,1
"IRF1",1,1,1,0,1,0,4,1
"JUND",1,1,0,1,1,0,4,1
"PRDM1",1,1,1,0,1,0,4,1
"STAT3",1,1,0,1,1,0,4,1
"ZNF467",1,1,1,0,1,0,4,1
"ATF2",1,1,0,0,1,0,3,2
"ATF3",1,0,1,0,1,0,3,2
"BATF3",1,0,0,1,1,0,3,2
"CTCF",1,1,0,0,1,0,3,2
"CTCFL",1,0,1,1,0,0,3,2
"E2F6",1,1,1,0,0,0,3,2
"EGR3",0,0,1,1,1,0,3,2
"FOS",1,0,0,1,1,0,3,2
"FOSB",1,0,1,1,0,0,3,2
"FOSL1",1,0,0,1,1,0,3,2
"FOXA2",0,1,1,0,1,0,3,2
"FOXH1",1,1,0,0,1,0,3,2
"GATA1",1,1,0,0,1,0,3,2
"GATA3",1,1,0,0,1,0,3,2
"GLIS1",1,0,1,0,1,0,3,2
"HOXB13",1,1,0,0,1,0,3,2
"IKZF1",1,0,0,1,1,0,3,2
"IRF2",1,1,1,0,0,0,3,2
"IRF4",1,0,1,0,1,0,3,2
"JUN",1,0,0,1,1,0,3,2
"JUNB",0,0,1,1,1,0,3,2
"KLF12",1,0,1,1,0,0,3,2
"LHX2",0,1,0,1,1,0,3,2
"MAZ",0,0,1,1,1,0,3,2
"MEF2A",1,0,1,0,1,0,3,2
"MYF5",0,0,1,1,1,0,3,2
"NFKB1",1,0,0,1,1,0,3,2
"NFKB2",1,0,0,1,1,0,3,2
"PAX3",1,0,0,1,1,0,3,2
"PHOX2A",1,1,0,1,0,0,3,2
"RUNX1",1,0,1,0,1,0,3,2
"STAT1",1,0,0,1,1,0,3,2
"STAT4",1,0,0,1,1,0,3,2
"STAT5A",1,0,0,1,1,0,3,2
"STAT5B",1,0,0,1,1,0,3,2
"TCF12",0,0,1,1,1,0,3,2
"TCF4",0,0,1,1,1,0,3,2
"TCF7L1",1,0,0,1,1,0,3,2
"TEAD4",0,1,0,1,1,0,3,2
"TFAP2A",1,0,0,1,1,0,3,2
"TFAP2C",1,0,0,1,1,0,3,2
"VSX2",1,0,1,1,0,0,3,2
"ZNF100",1,0,1,0,1,0,3,2
"ZNF189",1,1,1,0,0,0,3,2
"ZNF263",1,0,1,0,1,0,3,2
"ZNF382",1,1,0,0,1,0,3,2
"ARGFX",1,0,0,1,0,0,2,3
"ASCL1",0,0,1,1,0,0,2,3
"ASCL2",0,0,1,1,0,0,2,3
"ATF4",1,1,0,0,0,0,2,3
"ATF7",1,1,0,0,0,0,2,3
"ATOH1",1,1,0,0,0,0,2,3
"BACH2",0,0,0,1,1,0,2,3
"BATF",0,0,0,1,1,0,2,3
"BCL11A",0,0,1,0,1,0,2,3
"BHLHA15",1,0,0,1,0,0,2,3
"BHLHE22",1,0,0,1,0,0,2,3
"CDX2",0,1,0,0,1,0,2,3
"CEBPA",0,0,0,1,1,0,2,3
"CEBPB",0,0,0,1,1,0,2,3
"DLX5",1,0,0,1,0,0,2,3
"DRGX",1,0,0,1,0,0,2,3
"E2F1",1,0,1,0,0,0,2,3
"E2F5",1,0,1,0,0,0,2,3
"EBF1",0,1,0,0,1,0,2,3
"EGR1",0,0,1,1,0,0,2,3
"EGR4",0,0,1,1,0,0,2,3
"EHF",1,0,0,0,1,0,2,3
"ELF1",1,0,1,0,0,0,2,3
"ERG",1,0,0,0,1,0,2,3
"FOSL2",0,0,0,1,1,0,2,3
"FOXB1",1,0,1,0,0,0,2,3
"FOXC1",1,0,1,0,0,0,2,3
"FOXD2",1,0,1,0,0,0,2,3
"FOXE1",0,0,1,1,0,0,2,3
"FOXO1",0,0,1,0,1,0,2,3
"FOXP2",0,0,1,1,0,0,2,3
"FOXQ1",1,0,1,0,0,0,2,3
"FOXR2",1,0,1,0,0,0,2,3
"GATA4",0,1,0,0,1,0,2,3
"GATA6",1,0,0,0,1,0,2,3
"GSC",0,0,1,1,0,0,2,3
"HAND2",0,0,1,0,1,0,2,3
"HES2",0,0,1,0,1,0,2,3
"HNF1B",1,0,0,0,1,0,2,3
"HOXA9",0,1,0,0,1,0,2,3
"HOXC9",1,0,0,0,1,0,2,3
"HOXD9",1,0,1,0,0,0,2,3
"HSF1",1,0,1,0,0,0,2,3
"IRF5",1,0,1,0,0,0,2,3
"IRF7",1,0,1,0,0,0,2,3
"IRF8",1,0,1,0,0,0,2,3
"IRF9",1,0,1,0,0,0,2,3
"ISX",1,0,0,1,0,0,2,3
"JDP2",1,0,0,1,0,0,2,3
"KLF1",0,0,1,1,0,0,2,3
"KLF13",0,0,1,1,0,0,2,3
"KLF14",0,0,1,1,0,0,2,3
"KLF15",0,0,1,1,0,0,2,3
"KLF16",0,0,1,1,0,0,2,3
"KLF17",1,0,1,0,0,0,2,3
"KLF2",0,0,1,1,0,0,2,3
"KLF3",1,0,1,0,0,0,2,3
"KLF4",0,0,1,1,0,0,2,3
"KLF5",0,0,1,1,0,0,2,3
"KLF6",0,0,1,1,0,0,2,3
"KLF8",1,0,1,0,0,0,2,3
"KLF9",0,0,1,1,0,0,2,3
"LMX1A",1,0,0,1,0,0,2,3
"LMX1B",1,0,0,1,0,0,2,3
"MAF",0,0,0,1,1,0,2,3
"MAFK",1,0,0,0,1,0,2,3
"MAX",0,0,1,0,1,0,2,3
"MEF2B",1,0,0,0,1,0,2,3
"MEF2C",0,0,1,0,1,0,2,3
"MEF2D",0,1,1,0,0,0,2,3
"MIXL1",1,0,0,1,0,0,2,3
"MYNN",1,0,1,0,0,0,2,3
"MYOG",0,0,0,1,1,0,2,3
"NEUROD1",0,1,0,0,1,0,2,3
"NFAT5",1,0,0,1,0,0,2,3
"NFIC",0,0,0,1,1,0,2,3
"NHLH1",0,0,1,1,0,0,2,3
"NR2C2",1,0,0,1,0,0,2,3
"ONECUT2",1,0,0,1,0,0,2,3
"OSR2",0,0,1,0,1,0,2,3
"OTX2",0,1,0,0,1,0,2,3
"PATZ1",1,0,1,0,0,0,2,3
"PAX6",1,0,0,0,1,0,2,3
"PAX7",1,0,0,1,0,0,2,3
"PHOX2B",1,0,0,0,1,0,2,3
"PITX3",0,0,1,0,1,0,2,3
"POU2F2",1,0,0,0,1,0,2,3
"POU3F1",1,0,1,0,0,0,2,3
"POU6F1",1,0,0,1,0,0,2,3
"PRDM14",1,0,0,0,1,0,2,3
"PRRX2",1,0,0,1,0,0,2,3
"PTF1A",1,0,0,1,0,0,2,3
"RXRG",1,0,0,0,1,0,2,3
"SIX2",0,0,0,1,1,0,2,3
"SMAD3",0,0,0,1,1,0,2,3
"SNAI1",0,0,1,1,0,0,2,3
"SNAI2",0,0,1,0,1,0,2,3
"SNAI3",0,0,1,1,0,0,2,3
"SOX11",0,0,0,1,1,0,2,3
"SOX2",0,1,0,0,1,0,2,3
"SP1",0,0,1,1,0,0,2,3
"SP3",0,0,1,1,0,0,2,3
"SP4",0,0,1,1,0,0,2,3
"SP7",0,0,1,0,1,0,2,3
"SP8",0,0,1,1,0,0,2,3
"SP9",0,0,1,1,0,0,2,3
"SPI1",0,0,1,1,0,0,2,3
"SPIB",1,0,0,0,1,0,2,3
"SRF",1,0,0,0,1,0,2,3
"STAT2",1,0,1,0,0,0,2,3
"TBP",0,0,1,1,0,0,2,3
"TBX5",0,0,1,0,1,0,2,3
"TCF3",1,0,1,0,0,0,2,3
"TCFL5",0,0,1,1,0,0,2,3
"TEAD1",0,0,0,1,1,0,2,3
"TFAP2B",1,0,0,1,0,0,2,3
"TLX1",0,0,0,1,1,0,2,3
"TP53",1,0,0,0,1,0,2,3
"TP73",0,0,1,0,1,0,2,3
"WT1",0,0,0,1,1,0,2,3
"ZBTB14",0,0,1,1,0,0,2,3
"ZBTB42",0,0,1,0,1,0,2,3
"ZBTB6",0,0,1,0,1,0,2,3
"ZBTB7A",1,0,1,0,0,0,2,3
"ZIM3",1,0,0,0,1,0,2,3
"ZNF180",1,0,1,0,0,0,2,3
"ZNF182",0,0,1,0,1,0,2,3
"ZNF22",0,0,1,0,1,0,2,3
"ZNF267",1,0,1,0,0,0,2,3
"ZNF273",1,0,0,0,1,0,2,3
"ZNF28",1,0,0,0,1,0,2,3
"ZNF282",1,0,0,0,1,0,2,3
"ZNF311",1,0,1,0,0,0,2,3
"ZNF317",0,0,0,1,1,0,2,3
"ZNF320",1,0,0,0,1,0,2,3
"ZNF33A",1,0,1,0,0,0,2,3
"ZNF341",0,0,1,0,1,0,2,3
"ZNF35",0,0,1,0,1,0,2,3
"ZNF384",0,0,1,0,1,0,2,3
"ZNF415",0,1,1,0,0,0,2,3
"ZNF418",1,0,1,0,0,0,2,3
"ZNF44",1,0,1,0,0,0,2,3
"ZNF468",0,0,1,0,1,0,2,3
"ZNF519",0,0,1,0,1,0,2,3
"ZNF524",1,0,1,0,0,0,2,3
"ZNF529",1,0,1,0,0,0,2,3
"ZNF534",1,0,0,0,1,0,2,3
"ZNF548",1,0,1,0,0,0,2,3
"ZNF554",0,0,1,0,1,0,2,3
"ZNF675",1,0,1,0,0,0,2,3
"ZNF71",1,0,1,0,0,0,2,3
"ZNF768",1,0,1,0,0,0,2,3
"ZNF770",0,0,1,0,1,0,2,3
"ZNF783",0,0,1,0,1,0,2,3
"ZNF808",1,0,0,0,1,0,2,3
"ZNF816",1,0,1,0,0,0,2,3
"ZNF85",1,0,1,0,0,0,2,3
"ZNF93",1,0,1,0,0,0,2,3
"ZSCAN22",1,0,1,0,0,0,2,3
"A1JVI6_MOUSE",1,0,0,0,0,0,1,4
"ALX1",0,0,0,1,0,0,1,4
"ALX4",0,0,0,1,0,0,1,4
"AR",1,0,0,0,0,0,1,4
"ARID3A",0,0,0,1,0,0,1,4
