TF_Name,HomerID,TF_ID,Family_ID,TSource_ID,Motif_ID,MSource_ID,DBID,TF_Species,TF_Status,Family_Name,DBDs,DBD_Count,Cutoff,DBID.1,Motif_Type,MSource_Identifier,MSource_Type,MSource_Author,MSource_Year,PMID,MSource_Version,SR_Model,SR_NoThreshold,TfSource_Name,TfSource_URL,TfSource_Year,TfSource_Month,TfSource_Day,Motif,width,IC,max_score,NCcutoffScore,ICperNT
T,Brachyury(T-box)/Mesoendoderm-Brachyury-ChIP-exo(GSE54963)/Homer,T340152_2.00,F312_2.00,TS12_2.00,M09651_2.00,MS28_2.00,ENSMUSG00000062327,Mus_musculus,D,T-box,T-box,1,0.734273563,Mesoendoderm-Brachyury_GSE54963,Misc,HOMER,Misc,Heinz,2010,20513432,16-Jan,SimilarityRegression,FALSE,Ensembl,http://www.ensembl.org/,2018,Dec,8,M09651_2.00,21,7.738,14.557,5.38,0.37
Batf,"bZIP:IRF(bZIP,IRF)/Th17-BatF-ChIP-Seq(GSE39756)/Homer",T060477_2.00,F091_2.00,TS12_2.00,M08829_2.00,MS27_2.00,ENSMUSG00000034266,Mus_musculus,D,bZIP,bZIP_1,1,0.781756187,BATF_MOUSE.H11MO.0.A,Misc,HocoMoco,Misc,Kulakovskiy,2013,23175603,14-Jul,SimilarityRegression,FALSE,Ensembl,http://www.ensembl.org/,2018,Dec,8,M08829_2.00,18,7.39,14.274,5.119,0.41
Cebpa,CEBP(bZIP)/ThioMac-CEBPb-ChIP-Seq(GSE21512)/Homer,T060479_2.00,F091_2.00,TS12_2.00,M00993_2.00,MS40_2.00,ENSMUSG00000034957,Mus_musculus,D,bZIP,bZIP_1,1,0.781756187,CEBPA_M_HK,PBM,Mann2013,PBM,Mann,2013,23590861,NULL,SimilarityRegression,FALSE,Ensembl,http://www.ensembl.org/,2018,Dec,8,M00993_2.00,9,8.689,10.127,6.936,0.97
Jun,CEBP:AP1(bZIP)/ThioMac-CEBPb-ChIP-Seq(GSE21512)/Homer,T060493_2.00,F091_2.00,TS12_2.00,M01816_2.00,MS64_2.00,ENSMUSG00000052684,Mus_musculus,D,bZIP,bZIP_1,1,0.781756187,pTH4337,PBM,Zoo_01,PBM,Weirauch,2014,25215497,NULL,SimilarityRegression,FALSE,Ensembl,http://www.ensembl.org/,2018,Dec,8,M01816_2.00,9,4.916,8.347,2.962,0.55
Runx1,"ETS:RUNX(ETS,Runt)/Jurkat-RUNX1-ChIP-Seq(GSE17954)/Homer",T319428_2.00,F296_2.00,TS12_2.00,M09372_2.00,MS27_2.00,ENSMUSG00000022952,Mus_musculus,D,Runt,Runt,1,0.7,RUNX1_MOUSE.H11MO.0.A,Misc,HocoMoco,Misc,Kulakovskiy,2013,23175603,14-Jul,SequenceIdentity,TRUE,Ensembl,http://www.ensembl.org/,2018,Dec,8,M09372_2.00,12,8.132,11.533,6.026,0.68
Erg,EWS:ERG-fusion(ETS)/CADO_ES1-EWS:ERG-ChIP-Seq(SRA014231)/Homer,T176548_2.00,F180_2.00,TS12_2.00,M01495_2.00,MS60_2.00,ENSMUSG00000040732,Mus_musculus,D,Ets,Ets,1,0.717430628,Erg,PBM,Wei10,PBM,Wei,2010,20517297,NULL,SimilarityRegression,FALSE,Ensembl,http://www.ensembl.org/,2018,Dec,8,M01495_2.00,10,4.894,8.243,2.746,0.49
Elf1,EWS:ERG-fusion(ETS)/CADO_ES1-EWS:ERG-ChIP-Seq(SRA014231)/Homer,T176546_2.00,F180_2.00,TS12_2.00,M09079_2.00,MS27_2.00,ENSMUSG00000036461,Mus_musculus,D,Ets,Ets,1,0.717430628,ELF1_MOUSE.H11MO.0.A,Misc,HocoMoco,Misc,Kulakovskiy,2013,23175603,14-Jul,SimilarityRegression,FALSE,Ensembl,http://www.ensembl.org/,2018,Dec,8,M09079_2.00,14,9.39,14.189,7.438,0.67
Fli1,EWS:FLI1-fusion(ETS)/SK_N_MC-EWS:FLI1-ChIP-Seq(SRA014231)/Homer,T176537_2.00,F180_2.00,TS12_2.00,M09539_2.00,MS28_2.00,ENSMUSG00000016087,Mus_musculus,D,Ets,Ets,1,0.717430628,CD8-FLI_GSE20898,Misc,HOMER,Misc,Heinz,2010,20513432,16-Jan,SimilarityRegression,FALSE,Ensembl,http://www.ensembl.org/,2018,Dec,8,M09539_2.00,10,4.021,7.663,1.919,0.4
"	Foxa2","Fox:Ebox(Forkhead,bHLH)/Panc1-Foxa2-ChIP-Seq(GSE47459)/Homer",T185768_2.00,F196_2.00,TS12_2.00,M04816_2.00,MS62_2.00,ENSG00000125798,Homo_sapiens,D,Forkhead,Forkhead,1,0.663506654,FOXA2_eDBD_Methyl-HT-SELEX,SELEX,Yin2017,SELEX,Yin,2017,28473536,17-Apr,SimilarityRegression,FALSE,Ensembl,http://www.ensembl.org/,2018,Dec,8,M04816_2.00,20,13.286,18.34,11.173,0.66
Zfp143,"GFY-Staf(?,Zf)/Promoter/Homer",T101369_2.00,F135_2.00,TS12_2.00,M09010_2.00,MS27_2.00,ENSMUSG00000061079,Mus_musculus,D,C2H2 ZF,zf-C2H2,1,0.755454496,ZN143_MOUSE.H11MO.0.A,Misc,HocoMoco,Misc,Kulakovskiy,2013,23175603,14-Jul,SimilarityRegression,FALSE,Ensembl,http://www.ensembl.org/,2018,Dec,8,M09010_2.00,22,15.422,22.924,13.03,0.7
